,Year,Month,NHI_SWIR_Basic_Oxygen_Furnace_Slag_Q80_max,NHI_SWIR_Basic_Oxygen_Furnace_Slag_Q80_sum,NHI_SWIR_Basic_Oxygen_Furnace_Slag_sum_max,NHI_SWIR_Basic_Oxygen_Furnace_Slag_sum_sum,NHI_SWNIR_Basic_Oxygen_Furnace_Slag_Q80_max,NHI_SWNIR_Basic_Oxygen_Furnace_Slag_Q80_sum,NHI_SWNIR_Basic_Oxygen_Furnace_Slag_sum_max,NHI_SWNIR_Basic_Oxygen_Furnace_Slag_sum_sum,TAI_Basic_Oxygen_Furnace_Slag_Q80_max,TAI_Basic_Oxygen_Furnace_Slag_Q80_sum,TAI_Basic_Oxygen_Furnace_Slag_sum_max,TAI_Basic_Oxygen_Furnace_Slag_sum_sum,NHI_SWIR_Blast_Furnace_A_Q80_max,NHI_SWIR_Blast_Furnace_A_Q80_sum,NHI_SWIR_Blast_Furnace_A_sum_max,NHI_SWIR_Blast_Furnace_A_sum_sum,NHI_SWNIR_Blast_Furnace_A_Q80_max,NHI_SWNIR_Blast_Furnace_A_Q80_sum,NHI_SWNIR_Blast_Furnace_A_sum_max,NHI_SWNIR_Blast_Furnace_A_sum_sum,TAI_Blast_Furnace_A_Q80_max,TAI_Blast_Furnace_A_Q80_sum,TAI_Blast_Furnace_A_sum_max,TAI_Blast_Furnace_A_sum_sum,NHI_SWIR_Blast_Furnace_B_Q80_max,NHI_SWIR_Blast_Furnace_B_Q80_sum,NHI_SWIR_Blast_Furnace_B_sum_max,NHI_SWIR_Blast_Furnace_B_sum_sum,NHI_SWNIR_Blast_Furnace_B_Q80_max,NHI_SWNIR_Blast_Furnace_B_Q80_sum,NHI_SWNIR_Blast_Furnace_B_sum_max,NHI_SWNIR_Blast_Furnace_B_sum_sum,TAI_Blast_Furnace_B_Q80_max,TAI_Blast_Furnace_B_Q80_sum,TAI_Blast_Furnace_B_sum_max,TAI_Blast_Furnace_B_sum_sum,NHI_SWIR_Coke_Oven_1_Q80_max,NHI_SWIR_Coke_Oven_1_Q80_sum,NHI_SWIR_Coke_Oven_1_sum_max,NHI_SWIR_Coke_Oven_1_sum_sum,NHI_SWNIR_Coke_Oven_1_Q80_max,NHI_SWNIR_Coke_Oven_1_Q80_sum,NHI_SWNIR_Coke_Oven_1_sum_max,NHI_SWNIR_Coke_Oven_1_sum_sum,TAI_Coke_Oven_1_Q80_max,TAI_Coke_Oven_1_Q80_sum,TAI_Coke_Oven_1_sum_max,TAI_Coke_Oven_1_sum_sum,NHI_SWIR_Coke_Oven_2_Q80_max,NHI_SWIR_Coke_Oven_2_Q80_sum,NHI_SWIR_Coke_Oven_2_sum_max,NHI_SWIR_Coke_Oven_2_sum_sum,NHI_SWNIR_Coke_Oven_2_Q80_max,NHI_SWNIR_Coke_Oven_2_Q80_sum,NHI_SWNIR_Coke_Oven_2_sum_max,NHI_SWNIR_Coke_Oven_2_sum_sum,TAI_Coke_Oven_2_Q80_max,TAI_Coke_Oven_2_Q80_sum,TAI_Coke_Oven_2_sum_max,TAI_Coke_Oven_2_sum_sum,NHI_SWIR_Dump_Q80_max,NHI_SWIR_Dump_Q80_sum,NHI_SWIR_Dump_sum_max,NHI_SWIR_Dump_sum_sum,NHI_SWNIR_Dump_Q80_max,NHI_SWNIR_Dump_Q80_sum,NHI_SWNIR_Dump_sum_max,NHI_SWNIR_Dump_sum_sum,TAI_Dump_Q80_max,TAI_Dump_Q80_sum,TAI_Dump_sum_max,TAI_Dump_sum_sum,NHI_SWIR_Flaring_Tower_Q80_max,NHI_SWIR_Flaring_Tower_Q80_sum,NHI_SWIR_Flaring_Tower_sum_max,NHI_SWIR_Flaring_Tower_sum_sum,NHI_SWNIR_Flaring_Tower_Q80_max,NHI_SWNIR_Flaring_Tower_Q80_sum,NHI_SWNIR_Flaring_Tower_sum_max,NHI_SWNIR_Flaring_Tower_sum_sum,TAI_Flaring_Tower_Q80_max,TAI_Flaring_Tower_Q80_sum,TAI_Flaring_Tower_sum_max,TAI_Flaring_Tower_sum_sum,NHI_SWIR_Hot_Metal_Car_6_Q80_max,NHI_SWIR_Hot_Metal_Car_6_Q80_sum,NHI_SWIR_Hot_Metal_Car_6_sum_max,NHI_SWIR_Hot_Metal_Car_6_sum_sum,NHI_SWNIR_Hot_Metal_Car_6_Q80_max,NHI_SWNIR_Hot_Metal_Car_6_Q80_sum,NHI_SWNIR_Hot_Metal_Car_6_sum_max,NHI_SWNIR_Hot_Metal_Car_6_sum_sum,TAI_Hot_Metal_Car_6_Q80_max,TAI_Hot_Metal_Car_6_Q80_sum,TAI_Hot_Metal_Car_6_sum_max,TAI_Hot_Metal_Car_6_sum_sum,NHI_SWIR_Hot_Metal_Car_7_Q80_max,NHI_SWIR_Hot_Metal_Car_7_Q80_sum,NHI_SWIR_Hot_Metal_Car_7_sum_max,NHI_SWIR_Hot_Metal_Car_7_sum_sum,NHI_SWNIR_Hot_Metal_Car_7_Q80_max,NHI_SWNIR_Hot_Metal_Car_7_Q80_sum,NHI_SWNIR_Hot_Metal_Car_7_sum_max,NHI_SWNIR_Hot_Metal_Car_7_sum_sum,TAI_Hot_Metal_Car_7_Q80_max,TAI_Hot_Metal_Car_7_Q80_sum,TAI_Hot_Metal_Car_7_sum_max,TAI_Hot_Metal_Car_7_sum_sum,NHI_SWIR_Hot_Metal_Car_9_Q80_max,NHI_SWIR_Hot_Metal_Car_9_Q80_sum,NHI_SWIR_Hot_Metal_Car_9_sum_max,NHI_SWIR_Hot_Metal_Car_9_sum_sum,NHI_SWNIR_Hot_Metal_Car_9_Q80_max,NHI_SWNIR_Hot_Metal_Car_9_Q80_sum,NHI_SWNIR_Hot_Metal_Car_9_sum_max,NHI_SWNIR_Hot_Metal_Car_9_sum_sum,TAI_Hot_Metal_Car_9_Q80_max,TAI_Hot_Metal_Car_9_Q80_sum,TAI_Hot_Metal_Car_9_sum_max,TAI_Hot_Metal_Car_9_sum_sum,NHI_SWIR_Sintering_Plant_A_Q80_max,NHI_SWIR_Sintering_Plant_A_Q80_sum,NHI_SWIR_Sintering_Plant_A_sum_max,NHI_SWIR_Sintering_Plant_A_sum_sum,NHI_SWNIR_Sintering_Plant_A_Q80_max,NHI_SWNIR_Sintering_Plant_A_Q80_sum,NHI_SWNIR_Sintering_Plant_A_sum_max,NHI_SWNIR_Sintering_Plant_A_sum_sum,TAI_Sintering_Plant_A_Q80_max,TAI_Sintering_Plant_A_Q80_sum,TAI_Sintering_Plant_A_sum_max,TAI_Sintering_Plant_A_sum_sum,NHI_SWIR_Sintering_Plant_B_Q80_max,NHI_SWIR_Sintering_Plant_B_Q80_sum,NHI_SWIR_Sintering_Plant_B_sum_max,NHI_SWIR_Sintering_Plant_B_sum_sum,NHI_SWNIR_Sintering_Plant_B_Q80_max,NHI_SWNIR_Sintering_Plant_B_Q80_sum,NHI_SWNIR_Sintering_Plant_B_sum_max,NHI_SWNIR_Sintering_Plant_B_sum_sum,TAI_Sintering_Plant_B_Q80_max,TAI_Sintering_Plant_B_Q80_sum,TAI_Sintering_Plant_B_sum_max,TAI_Sintering_Plant_B_sum_sum,Date,Value
0,2022,1,0.034843042,-2.941590438,0.0,-292.783011,0.5526103,-3.11649444,0.0,-350.5369169,8.011007,7.748507297,373.15262,337.62718350000006,0.27595258,-1.32779221,1.4568107,-31.12253302,0.08483066,-2.750207075,0.0,-55.2634259,13.869792,29.98499493,111.3537,274.4682649,0.1692786,-2.88155447,0.18826246,-56.21685154,-0.166318,-4.13480073,0.0,-78.7382945,7.558902,7.160804605,79.35343,69.55327983000001,0.26671177,-0.458160757,3.9223092,-20.544297500000003,0.3701147,-3.08863817,4.2135725,-75.43035449999999,30.12047,48.345440209,443.00412,701.63651909,-0.011028854,-1.568636824,0.0,-32.8219583,-0.45058164,-4.70951977,0.0,-78.431084,2.5653267,7.9724100867,30.721867,98.29400578,0.29463893,-0.0508298329999998,6.4206796,-54.008183,0.07116759,-3.31669099,0.0,-155.234282,13.439298,26.677654765,337.33524,654.5104934,0.0062532183,-1.0339633557,0.0,-70.302699,0.45979616,1.45178048,6.2925935,-3.586588700000002,10.122894,29.5655354,153.86958,549.45524,0.26578888,-0.86965088,0.033036232,-40.222934118,0.112227865,-2.729637414,0.0,-79.7970435,11.28139,29.335612114,141.57347,371.41895543,0.21620347,-0.7509219240000001,3.0611823,-44.0967259,0.20209499,-1.808481687,0.0,-81.9701437,14.354617,40.536277924,302.7602,729.7277765,0.15052389,-2.17801568,0.0,-42.83461384,-0.30854264,-3.90729124,0.0,-65.8173197,5.0245566,8.577970444,47.913177,77.16708492000001,0.44343528,1.214842318,5.151367,6.4386843,-0.14129311,-2.42987272,0.0,-47.39923,17.636911,60.566085706,176.56026,608.733866,-0.14264336,-3.43504335,0.0,-13.74017335,-0.57353514,-5.26933759,0.0,-21.0773503,1.1643145,1.236178158,4.657258,4.944712642,2022-01-01,343
1,2022,2,0.11799711,-0.99476435,0.0,-139.841871,-0.0059285797,-1.7261746797000002,0.0,-204.221313,5.53645,6.8118285830000005,209.39232,243.7813508,0.2262852,-1.32434134,1.7582603,-23.4310417,-0.04539389,-2.05256007,0.0,-37.4601787,12.207939,11.979056231,99.83522,95.52029415,0.03172273,-1.031970834,0.0,-22.0427002,-0.23378196,-2.04016856,0.0,-41.8142755,3.5736592,6.426016385,41.353104,71.153596,-0.14969479,-0.96161125,0.0,-23.4004606,-0.57837594,-2.46207691,0.0,-51.012106,1.0403337,2.64232304,16.039324,41.485217500000005,0.060335733,-0.920688547,0.0,-21.7594163,0.5724847,-1.37143551,7.4638224,-26.7928869,14.092051,19.76863878,110.85774,176.44407412,-0.16060339,-1.31524204,0.0,-66.575406,-0.5779806,-2.528273,0.0,-104.768145,1.1050787,1.739195092,24.240967,35.0832542,-0.04170373,-1.007168553,0.0,-56.7732696,0.4846676,0.5584524399999999,5.282496,-20.150508,8.082368,18.5820924,145.98167,301.663637,-0.20776726,-1.2654425,0.0,-35.252425599999995,-0.5750232,-2.3900589,0.0,-58.672457,1.0056065,2.117293737,16.688316,33.051087857,0.0634196,-0.22999289,0.0,-23.1855109,-0.17716147,-1.36933151,0.0,-56.406607,4.9958715,12.017136,97.078316,233.224663,-0.26230213,-1.79158906,0.0,-31.2148363,-0.5979742,-2.51222618,0.0,-41.218136,0.547901,0.3342146589999999,3.9216304,-1.2644487999999996,0.4652445,-0.1616704499999999,6.220998,-10.347443192,0.16665755,-1.96015578,0.0,-37.37601552,33.1531,43.2541629002,365.80447,445.66153163,-0.4469346,-2.51656374,0.0,-10.0662552,-0.5912462,-3.1199204700000003,0.0,-12.4796818,0.07561235,-0.2805926,0.3024494,-1.12237039,2022-02-01,285
2,2022,3,-0.45049396,-2.49832702,0.0,-231.285519,-0.6343217,-3.31727811,0.0,-308.75867,0.05650685,-0.235856335,6.2981596,-19.9411659,-0.48623356,-2.64041092,0.0,-43.292917,-0.65868586,-3.47793486,0.0,-56.0958905,-0.013716525,-0.47253643,0.0,-9.068144,-0.39776435,-2.59883249,0.0,-47.732905,-0.65974134,-3.48100364,0.0,-63.206238,0.1491673,-0.360791594,1.5326436,-8.1896904,-0.161559,-1.70363466,0.0,-40.6051407,-0.47758868,-3.12471553,0.0,-65.6701275,1.4097915,2.52186898,13.905483,24.1676661,0.13278785,-1.15589006,0.0,-24.68598928,-0.32703465,-2.78266695,0.0,-47.703526,5.2432747,7.4664775271,51.6509,71.8320069,0.19288184,-1.61650153,0.0,-85.5408243,0.23641743,-2.4858397,0.0,-119.882012,4.8717127,5.00213025,107.99067,104.5868753,-0.119033985,-1.068207075,0.0,-58.335229,0.10265722,-1.054008682,0.0,-53.548571730000006,4.8634086,10.37460317,65.82955,188.1865524,0.06557186,-1.289531172,0.0,-41.2468749,-0.2473067,-2.70675939,0.0,-69.765559,4.271976,5.981492327800001,77.98581,100.6698153,-0.035726152,-1.055398142,0.0,-44.2589378,-0.4563114,-2.2550453,0.0,-72.20522299999999,2.4909687,4.03482545,37.7703,62.2085225,-0.016722381,-2.207485461,0.0,-37.099168,-0.511979,-3.21015317,0.0,-51.943756,2.1472528,1.62188689,25.513607,16.352552100000004,0.3074657,-0.19639821,2.452638,-11.673053806,-0.35944834,-2.80039942,0.0,-48.329113,7.8513627,14.53978087,71.329926,136.64975049999998,-0.13223092,-1.45844895,0.0,-5.8337959,-0.6094737,-2.54967246,0.0,-10.1986899,1.0848485,1.34457097,4.339394,5.378283850000001,2022-03-01,344
3,2022,4,0.10101801,-1.93261651,0.0,-215.263636,-0.5635187,-2.97508824,0.0,-283.435875,2.616295,2.316221133,108.196815,75.57346940000001,0.103294,-0.48471164,0.0,-16.2841204,-0.3903389,-2.42214251,0.0,-43.398091,4.1721797,10.9144304,33.396835,98.7451527,-0.21515663,-2.34131888,0.0,-45.5104503,-0.6090621,-3.23517652,0.0,-59.7452565,0.76122,0.3397235039999999,6.120707,-2.6713141999999994,-0.112469666,-1.362479746,0.0,-34.454472,-0.43429327,-2.79218711,0.0,-58.854751,1.8979592,3.9098059,21.035627,48.31815886,-0.28485575,-1.83089997,0.0,-31.6675498,-0.5444542,-2.96386428,0.0,-48.352636,0.5185185,1.50451692,5.407151,17.857037679999998,0.0017920118,-1.1441224302,0.0,-71.230453,-0.47935447,-2.8636163,0.0,-122.203307,2.4974926,5.520408145,47.005295,119.2003303,-0.004698113,-1.727459703,0.0,-85.45449450000001,0.25567546,-1.27568875,0.0,-78.39185529999999,3.2135594,10.49789407,67.35504,183.12404564,-0.001490972,-1.606185672,0.0,-43.19829644,-0.27097473,-2.60873913,0.0,-66.791293,3.8123636,4.8227882758,75.9028,87.2090984,0.0034619656,-1.0379027984,0.0,-52.544118,-0.13067774,-2.2527878,0.0,-78.11807,4.542377,9.50616723,100.16771,170.587187,-0.51645905,-2.66738945,0.0,-43.777011,-0.5967035,-3.16297129,0.0,-51.882181,-0.091696754,-0.5794810539999999,0.0,-11.4492155,0.22685735,-0.807632234,0.0,-22.6993755,-0.51078546,-2.71420092,0.0,-45.881498,4.192698,8.09695805,32.894104,64.4831901,-0.17638892,-1.40279368,0.0,-5.6111748,-0.52818656,-2.2411027,0.0,-8.9644107,1.0747452,1.7006014399999998,4.2989807,6.8024055400000005,2022-04-01,292
4,2022,5,-0.43444604,-2.98679491,0.0,-279.710664,-0.57312465,-3.7633329,0.0,-353.589337,0.1071277,-0.2100850929999999,5.2396584,-27.6341168,0.19522443,-1.65758646,0.0,-36.1261732,-0.24791844,-3.30810903,0.0,-57.503020500000005,5.4173913,9.174309395,38.044174,73.3829973,0.025922455,-2.625702815,0.0,-52.7480867,-0.38287148,-3.73477233,0.0,-70.813527,4.083547,3.615027350000001,30.136862,20.3101004,0.024205001,-1.361645169,0.0,-36.3741926,0.35899386,-2.42375024,2.2817817,-56.4742433,8.381258,13.056135773,105.97495,168.0769576,0.15038817,-1.57241016,0.0,-31.0300938,0.483522,-2.30465863,0.39811593,-46.29495307,8.672165,11.657186867,71.38124,109.98398465,0.013628664,-2.259654906,0.0,-104.654269,0.23978503,-2.1625375800000004,0.0,-113.4359274,4.1051283,5.396819,103.11574,108.0250185,-0.06355192,-1.3126935,0.0,-68.8855715,0.17291571,-1.738655434,0.72499853,-79.98002117,3.0260632,9.09426007,75.869064,196.8286412,-0.03609391,-2.2684737,0.0,-60.3040489,-0.36312163,-3.48625231,0.0,-86.421323,2.674037,3.520923499,57.03492,60.668144433,-0.050363503,-2.656659523,0.0,-86.285155,-0.3332636,-3.53470519,0.0,-110.115774,2.9155228,2.476822814,53.20661,37.4087806,-0.19289316,-2.59889309,0.0,-43.5883264,-0.5383799,-3.76146406,0.0,-60.772889,1.021043,1.194897185,13.072199,12.76851,0.16522713,-1.230978506,0.8135555,-26.7010181,-0.40447798,-3.30785764,0.0,-55.533477000000005,4.79715,8.8281422768,51.80249,91.6475108,0.0066267042,-1.8516410458,0.026506817,-7.406564183,-0.4884989,-3.4403559,0.0,-13.761423400000002,2.4587884,4.46196409,9.835154,17.84785686,2022-05-01,344
5,2022,6,0.10231252,-0.94291558,0.0,-120.796707,-0.5532542,-1.7540093,0.0,-164.750982,2.7103658,2.49204337,144.977,121.74882,-0.4941514,-1.59052706,0.0,-25.803292,-0.61557704,-1.89489007,0.0,-31.010991,-0.040281974,-0.321672224,0.0,-5.8801705,-0.036194693,-1.119145793,0.0,-23.0661771,-0.34047306,-1.63076451,0.0,-31.759478,3.164976,2.90699348,31.567501,26.1652261,-0.16981445,-0.82386968,0.0,-19.6431197,-0.3387441,-1.40205782,0.0,-30.3905285,1.7422314,2.8408001,27.059917,40.588808,-0.28788275,-0.88590017,0.0,-16.9370775,-0.36740014,-1.44418539,0.0,-24.6694674,0.7398844,1.85653205,11.802607,22.1023505,-0.0380736,-1.07726216,0.0,-54.532326,-0.51122636,-1.74855916,0.0,-72.90186,2.013198,1.82294302,36.528896,27.34153730000001,-0.290747,-0.96708072,0.0,-42.157022,0.22308338,-0.1448294799999999,0.8332372,-19.6369062,1.7598475,3.444464,25.281124,55.871986,-0.09405437,-0.72259349,0.0,-24.5065127,-0.15791985,-1.26243492,0.0,-34.0143364,3.0036416,5.1270232,49.012722,69.4416951,-0.07774088,-0.83366598,0.0,-35.2669577,-0.22874376,-1.22909811,0.0,-45.5189295,3.501676,4.702977564999999,57.775352,71.919425,-0.28317127,-1.31579702,0.0,-23.4504776,-0.5862278,-1.79989973,0.0,-29.492427,0.52605456,0.3470567499999999,2.5453017,-1.1149218,-0.20571238,-1.20200491,0.0,-21.141936,-0.5176707,-1.62817,0.0,-27.137666,1.0489845,0.929897318,9.919565,7.165695,0.07403195,-0.79381377,0.1480639,-3.323319,-0.5079867,-1.61474274,0.0,-5.442997500000001,2.8543787,3.140316532,5.7087574,6.852508729999999,2022-06-01,313
6,2022,7,-0.50224984,-3.58216654,0.0,-334.064331,-0.57183343,-4.14016984,0.0,-390.133605,-0.068509616,-0.616981752,0.0,-64.845323,0.08676144,-0.813261084,0.0,-20.24362231,-0.1873451,-2.769245,0.0,-50.6779271,4.9292364,17.998964695999998,60.604015,217.8736289,-0.15124118,-2.85434947,0.0,-57.4057608,-0.5121002,-4.10930284,0.0,-77.2458505,1.5413826,2.2353055,13.477409,15.699853999999998,-0.13798979,-2.21431456,0.0,-49.9898155,-0.39109904,-3.74735863,0.0,-79.278633,1.9470822,4.502575917,25.406235,66.3160585,-0.12925188,-2.38258191,0.0,-42.6175871,-0.40880376,-3.86523191,0.0,-64.4737866,1.8974789,3.626858375,17.34871,37.80214375,0.09295601,-0.671074387,0.0,-70.3112635,0.22656661,-1.713150372,0.0,-108.636001,4.213089,18.8596513,112.53679,445.6941788,-0.14915527,-1.71299267,0.0,-79.111642,0.1824026,0.10838829,2.2751994,-36.77428472,2.8880951,13.37070745,70.40286,289.134538,0.049248893,-2.557496121,0.0,-66.9258786,-0.14757253,-3.21547876,0.0,-85.1646505,5.3166904,8.142212649,85.8255,130.34117963,-0.015592012,-2.789764422,0.0,-90.7319493,0.028204976,-3.312347914,0.0,-110.3457187,7.0639315,8.067047596,119.26274,134.5499788,-0.28070313,-3.43121074,0.0,-56.474717,-0.52950096,-4.16400469,0.0,-67.773937,0.64581573,-0.025996829,8.77462,-4.448652699999999,0.14790054,-1.658423462,0.5384165,-33.5986214,-0.35917372,-3.49808091,0.0,-60.1352277,5.0844564,11.40979566,52.34812,113.2344938,-0.15239747,-2.83277525,0.0,-11.3311011,-0.513109,-3.93331952,0.0,-15.7332781,1.3305478,1.87470814,5.322191,7.49883242,2022-07-01,314
7,2022,8,-0.027047664,-2.622054834,0.0,-252.281962,-0.4224988,-3.42419001,0.0,-311.330892,4.472517,3.976036625,130.94426,82.50205150000001,0.14750868,-0.429257914,0.0,-14.17526875,-0.1753717,-2.12799729,0.0,-37.3319934,6.1127214,13.130323497,56.010994,143.060809,0.16407503,-1.26498268,1.834703,-29.9477527,0.31988907,-1.73435381,0.71007144,-38.71382516,7.192846,12.965124206,107.26067,170.1756283,-0.31410402,-2.17119721,0.0,-47.0841834,-0.52069795,-3.43166515,0.0,-70.768134,0.5464743,1.90766032,8.550005,28.1764356,-0.2518385,-1.58781539,0.0,-28.6941659,-0.5067534,-2.7729031500000003,0.0,-46.208776,0.7881356,2.44547147,8.180433,27.7705528,-0.5227551,-2.64097559,0.0,-107.010261,-0.61825514,-3.11851468,0.0,-126.269375,-0.1054744,-0.571140899,0.0,-25.621647,0.21973753,-1.1457154799999998,0.0,-60.026532,0.24232215,-0.81593339,3.1238112,-42.8514248,4.278646,9.41010918,103.29861,181.2468777,-0.25204518,-2.27891057,0.0,-61.902623,-0.5256218,-3.39762931,0.0,-84.115233,0.75525117,2.01101785,10.001012,27.4740078,-0.05662673,-2.71656506,0.0,-90.753168,-0.48250964,-3.373345,0.0,-103.41851,1.9446337,1.23695302,25.516987,2.316660500000001,-0.18013072,-2.45820188,0.0,-42.9629762,-0.55750895,-3.53404599,0.0,-57.479148,1.0487804,1.526611401,12.384624,12.09258,0.09036843,-0.289563197,0.0,-17.6450645,-0.42410845,-2.86684044,0.0,-51.261442,3.7083004,14.93263373,31.096552,131.8297784,-0.1914749,-1.95051418,0.0,-7.8020567,-0.5427415,-2.7978076400000003,0.0,-11.1912307,0.9737303,1.410129238,3.8949213,5.64051705,2022-08-01,287
8,2022,9,0.119347386,-1.390492704,0.0,-152.530046,-0.14780399,-1.90441892,0.0,-199.668665,5.362956,5.155434836,269.7338,246.800567,0.016149292,-1.501464638,0.0,-26.8327128,-0.39725402,-2.22216078,0.0,-37.6244134,3.1779964,2.989967716,31.622837,26.4085794,0.09936076,-0.8788505640000001,0.0,-21.68587572,-0.1398331,-1.56383787,0.0,-35.0022623,5.933529,11.30110173,63.62039,115.8100009,-0.23567832,-1.10803651,0.0,-26.9655382,-0.49466732,-2.10320498,0.0,-43.92012,0.8580934,2.59981104,13.467098,36.6462013,0.22075798,-0.50745442,0.0,-13.69240352,0.6102392,-0.80680141,5.6208305,-18.5674825,25.681416,28.44088857,222.524,261.32536500000003,0.11991077,-0.267397244,0.0,-27.580416900000003,-0.39227104,-2.4456727000000003,0.0,-86.02910370000001,4.360269,13.610007854,97.64973,297.14112975,-0.117876574,-1.379378294,0.0,-64.195661,0.260531,0.17961158,0.9364963,-26.2245999245,4.2557254,10.42899356,75.585175,153.2996582,-0.015354043,-0.253992698,0.0,-18.5708832,-0.13923547,-1.3696922,0.0,-40.96073,5.0482235,11.805476,64.863754,174.993797,-0.51232934,-2.06758918,0.0,-62.962773,-0.54595006,-2.2902426900000004,0.0,-70.035782,-0.099633254,-0.416141288,0.0,-14.7569441,-0.044589307,-0.908521907,0.0,-22.1032935,-0.40321782,-2.03692448,0.0,-35.1104694,2.5866916,4.97624595,22.138515,37.100010100000006,0.24459344,0.50946353,0.18046254,-2.69964231,-0.35106838,-1.51322237,0.0,-30.490803,6.6011453,18.8301025,49.83029,163.61997399999998,-0.40476227,-1.78007559,0.0,-7.1203024,-0.47598276,-2.10017578,0.0,-8.400703,0.22843823,0.4035186122999999,0.9137529,1.614074409,2022-09-01,311
9,2022,10,-0.51253206,-2.62638506,0.0,-243.646902,-0.5890874,-3.35606988,0.0,-311.903905,-0.04107182,-0.469715321,0.0,-46.0517628,-0.5054591,-2.65482268,0.0,-41.429189,-0.6220937,-3.440665,0.0,-53.420266,-0.04210988,-0.4934733409999999,0.0,-8.576466199999999,0.10067872,-0.62660105,0.0,-17.496256300000002,-0.42244023,-2.24576049,0.0,-43.17916,3.8410797,6.058727899999999,40.445255,68.5001321,-0.19950916,-1.34805553,0.0,-29.8181553,-0.5272521,-2.4275755,0.0,-49.4100855,0.7782265,1.709716923,12.0287695,25.4624603,0.05170266,-1.1169209800000002,0.0,-19.9197908,-0.3685649,-2.1810157,0.0,-36.371445,3.7813213,4.67827961,46.840984,57.1234319,0.18278617,-0.58101202,0.0,-43.06105598,-0.10899243,-1.84482247,0.0,-86.237957,7.94045,11.3644743,205.72763,284.540541,-0.3332688,-1.6169374,0.0,-63.427913,0.645159,-1.06954801,8.586137,-53.929479,7.304412,7.911711355,114.66791,117.2265055,0.061002012,-1.031835318,0.0,-30.740287,-0.063351214,-1.628589914,0.0,-45.775389,7.41906,10.716362574,98.77097,160.2013386,0.009469826,-1.141716084,0.0,-47.471626,-0.41135997,-2.19681072,0.0,-70.704984,2.2764707,4.273550279999999,40.57197,67.2402016,-0.5363863,-2.17708445,0.0,-35.917498,-0.5947957,-2.55980835,0.0,-42.2466465,-0.12588401,-0.56838164,0.0,-10.5392117,0.34079498,-1.85558866,4.530968,-31.7724833,-0.11655888,-3.40619967,0.0,-58.3422016,13.60584,14.241809311,153.24733,159.70691526000002,-0.17239982,-2.96255952,0.0,-11.850238,-0.53826034,-4.62294045,0.0,-18.4917621,1.1445639,1.551935167,4.5782557,6.20774077,2022-10-01,195
